                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7062,                  2.479,                 1.4364,                0.21956,                 0.2824,                0.17496,                0.10841,                 1.5279,                  3.083,                  1.416,             0.00027243,             0.00027243,             0.00027243
                      2,                 1.4943,                 1.9091,                 1.3377,                0.08369,                0.23687,                 0.0809,                0.05157,                 1.6499,                    inf,                  1.529,             0.00054591,             0.00054591,             0.00054591
                      3,                 1.4722,                 1.8613,                 1.3206,                0.14113,                0.24703,                 0.1244,                0.07709,                 1.5239,                    inf,                 1.4159,             0.00081515,             0.00081515,             0.00081515
                      4,                 1.4862,                 1.9081,                  1.341,                0.24942,                0.32719,                0.23543,                0.15041,                 1.4605,                 2.2971,                 1.3866,             0.00081397,             0.00081397,             0.00081397
                      5,                 1.4347,                 1.8372,                 1.2894,                0.22613,                0.31454,                0.20611,                0.13021,                  1.438,                 2.0194,                 1.3422,             0.00081397,             0.00081397,             0.00081397
                      6,                 1.4206,                 1.8133,                 1.2931,                0.41784,                 0.3224,                0.24924,                0.16235,                 1.3941,                 1.9635,                 1.3086,             0.00080763,             0.00080763,             0.00080763
                      7,                 1.3651,                 1.7777,                  1.264,                0.28819,                0.33726,                0.27162,                0.17798,                 1.3503,                 1.8177,                 1.3021,             0.00080128,             0.00080128,             0.00080128
                      8,                 1.3783,                 1.7731,                 1.2734,                0.43131,                0.34353,                0.28227,                0.19123,                 1.3375,                 1.8432,                 1.2811,             0.00079494,             0.00079494,             0.00079494
                      9,                 1.3617,                 1.7421,                 1.2622,                0.35397,                0.34439,                0.28893,                0.18964,                 1.3452,                 1.7995,                 1.2832,             0.00078859,             0.00078859,             0.00078859
                     10,                 1.3484,                 1.7116,                 1.2581,                0.54409,                0.34484,                0.32019,                0.21509,                 1.3381,                 1.7569,                 1.2647,             0.00078225,             0.00078225,             0.00078225
                     11,                 1.3118,                  1.707,                 1.2332,                0.48592,                 0.3579,                0.31187,                0.21012,                 1.3089,                  1.751,                 1.2639,             0.00077591,             0.00077591,             0.00077591
                     12,                 1.3166,                 1.6913,                 1.2434,                0.47848,                0.37842,                0.33192,                0.22865,                 1.2687,                 1.6981,                 1.2467,             0.00076956,             0.00076956,             0.00076956
                     13,                 1.2697,                 1.6456,                 1.2225,                0.49625,                0.32952,                0.29585,                0.19761,                 1.2894,                 1.7724,                 1.2639,             0.00076322,             0.00076322,             0.00076322
                     14,                 1.2765,                 1.6405,                 1.2182,                 0.4659,                0.36313,                0.31381,                0.21312,                 1.2732,                 1.6999,                 1.2442,             0.00075688,             0.00075688,             0.00075688
                     15,                 1.2775,                 1.6573,                 1.2231,                0.49572,                 0.3683,                0.33488,                0.23076,                 1.2546,                 1.6766,                 1.2252,             0.00075053,             0.00075053,             0.00075053
                     16,                 1.2608,                 1.6301,                 1.2178,                0.47924,                  0.389,                0.33387,                0.23046,                 1.2741,                  1.668,                 1.2338,             0.00074419,             0.00074419,             0.00074419
                     17,                 1.2544,                   1.62,                 1.2071,                 0.4876,                0.34915,                0.28945,                 0.1942,                 1.2673,                 1.7647,                 1.2391,             0.00073785,             0.00073785,             0.00073785
                     18,                 1.2371,                 1.6121,                 1.2029,                0.51385,                0.37765,                0.35761,                0.24844,                 1.2157,                 1.6112,                 1.2114,              0.0007315,              0.0007315,              0.0007315
                     19,                 1.2201,                 1.5694,                 1.1908,                0.36801,                0.38681,                 0.3486,                0.23728,                 1.2738,                 1.6156,                 1.2213,             0.00072516,             0.00072516,             0.00072516
                     20,                 1.2214,                 1.5618,                 1.1867,                0.50138,                0.38395,                0.34015,                0.23546,                 1.2339,                 1.6169,                 1.2153,             0.00071881,             0.00071881,             0.00071881
                     21,                 1.1939,                 1.5452,                  1.184,                0.41129,                0.37231,                0.35274,                 0.2407,                 1.2295,                  1.628,                 1.2083,             0.00071247,             0.00071247,             0.00071247
                     22,                 1.2081,                 1.5578,                 1.1872,                0.50879,                0.38991,                0.36135,                0.25072,                 1.2046,                 1.5888,                 1.1986,             0.00070613,             0.00070613,             0.00070613
                     23,                 1.2031,                 1.5693,                 1.1929,                0.47009,                0.39385,                0.36609,                0.25415,                 1.2186,                 1.5972,                 1.2016,             0.00069978,             0.00069978,             0.00069978
                     24,                 1.1964,                 1.5349,                 1.1772,                0.44544,                0.38844,                0.36785,                0.25739,                 1.2053,                  1.567,                 1.2066,             0.00069344,             0.00069344,             0.00069344
                     25,                 1.1834,                 1.5386,                 1.1779,                0.52263,                0.39899,                 0.3674,                0.25999,                 1.1939,                 1.6199,                 1.1993,              0.0006871,              0.0006871,              0.0006871
                     26,                 1.1877,                 1.5292,                 1.1716,                0.44582,                 0.3975,                0.37046,                0.26305,                 1.1952,                 1.6017,                 1.1982,             0.00068075,             0.00068075,             0.00068075
                     27,                 1.1616,                 1.4909,                 1.1546,                0.43831,                0.41621,                0.38589,                0.27176,                 1.1713,                 1.5631,                 1.1884,             0.00067441,             0.00067441,             0.00067441
                     28,                 1.1426,                 1.4624,                  1.154,                0.55411,                0.37435,                0.36717,                0.25818,                 1.1788,                   1.59,                  1.194,             0.00066807,             0.00066807,             0.00066807
                     29,                 1.1458,                 1.4709,                 1.1456,                0.41662,                0.43506,                0.38278,                0.26862,                 1.2104,                 1.5484,                 1.1943,             0.00066172,             0.00066172,             0.00066172
                     30,                 1.1331,                  1.446,                 1.1458,                 0.5556,                 0.3919,                0.38506,                 0.2724,                 1.1798,                 1.5599,                  1.187,             0.00065538,             0.00065538,             0.00065538
                     31,                  1.137,                 1.4541,                 1.1538,                0.54081,                0.39538,                0.38006,                0.27141,                  1.187,                  1.556,                   1.19,             0.00064904,             0.00064904,             0.00064904
                     32,                 1.1337,                 1.4509,                 1.1417,                0.41597,                0.41625,                0.38511,                0.27778,                 1.1619,                 1.5583,                 1.1771,             0.00064269,             0.00064269,             0.00064269
                     33,                 1.1493,                   1.47,                 1.1478,                0.49698,                0.42066,                0.40873,                0.29048,                 1.1711,                 1.5282,                 1.1899,             0.00063635,             0.00063635,             0.00063635
                     34,                 1.1323,                 1.4303,                  1.144,                0.48095,                0.41445,                0.40452,                0.28724,                 1.1492,                 1.5119,                 1.1791,                0.00063,                0.00063,                0.00063
                     35,                 1.1089,                 1.4238,                  1.137,                0.43858,                0.44598,                0.40576,                0.29155,                 1.1554,                 1.5246,                 1.1721,             0.00062366,             0.00062366,             0.00062366
                     36,                  1.123,                 1.4252,                 1.1348,                0.46218,                0.40192,                0.39635,                0.28458,                 1.1655,                 1.5539,                 1.1806,             0.00061732,             0.00061732,             0.00061732
                     37,                 1.1295,                 1.4466,                 1.1438,                0.54526,                0.40891,                0.40228,                0.28447,                 1.1693,                 1.5313,                 1.1828,             0.00061097,             0.00061097,             0.00061097
                     38,                  1.103,                 1.4024,                 1.1343,                 0.4978,                0.39997,                0.41766,                0.29752,                 1.1374,                 1.4979,                 1.1736,             0.00060463,             0.00060463,             0.00060463
                     39,                 1.1089,                 1.4021,                 1.1313,                0.39316,                0.44797,                0.39916,                0.28511,                 1.1545,                 1.5436,                 1.1835,             0.00059829,             0.00059829,             0.00059829
                     40,                 1.0915,                 1.3828,                 1.1226,                0.50168,                0.40895,                0.40885,                0.29278,                 1.1498,                 1.5194,                 1.1796,             0.00059194,             0.00059194,             0.00059194
                     41,                 1.0885,                  1.379,                  1.129,                0.46014,                 0.4563,                0.41884,                0.29597,                 1.1405,                 1.5111,                 1.1706,              0.0005856,              0.0005856,              0.0005856
                     42,                 1.0775,                 1.3682,                 1.1188,                0.43992,                0.43757,                0.40713,                0.29516,                 1.1273,                 1.4933,                 1.1711,             0.00057926,             0.00057926,             0.00057926
                     43,                 1.0768,                 1.3516,                 1.1131,                0.57696,                0.40137,                0.43761,                0.31448,                 1.1433,                 1.4872,                 1.1702,             0.00057291,             0.00057291,             0.00057291
                     44,                 1.0591,                 1.3267,                 1.1072,                0.46775,                0.44106,                0.42407,                0.30848,                 1.1359,                 1.5039,                 1.1692,             0.00056657,             0.00056657,             0.00056657
                     45,                 1.0635,                 1.3181,                 1.1022,                0.52936,                0.45352,                0.42418,                0.30704,                 1.1267,                 1.4931,                 1.1629,             0.00056022,             0.00056022,             0.00056022
                     46,                 1.0517,                 1.3039,                 1.0991,                 0.5025,                0.43822,                0.42602,                0.30672,                 1.1152,                 1.4844,                 1.1612,             0.00055388,             0.00055388,             0.00055388
                     47,                 1.0608,                 1.3071,                 1.1075,                0.48937,                0.44467,                0.43333,                0.30951,                 1.1245,                 1.4939,                 1.1677,             0.00054754,             0.00054754,             0.00054754
